id;nom_thickness;nom_current;nom_3D;nom_data;DDC_target_A_dm2;j0_A_m2;alpha;E_eq_V;sigma_S_m;c_Ni2_M;time_s;efficiency;cell_height_mm;lc_mm;DDC_obtained_A_dm2;V_anode_V;j_min_A_m2;j_avg_A_m2;j_max_A_m2;thickness_min_um;thickness_avg_um;thickness_max_um;CV_percent;cathode_area_mm2;elapsed_time_s;status
001;001_ED_thickness_map.png;001_ED_current_density.png;001_ED_3D_iso.png;001_ED_data.npz;5,0000;0,3000;0,2500;-0,2600;10,0000;1,0000;30,0000;0,9800;4,0000;0,0600;5,0669;-0,4914;327,0814;506,6885;882,3101;0,3283;0,5086;0,8857;20,0122;13,5198;114,1531;OK
002;002_ED_thickness_map.png;002_ED_current_density.png;002_ED_3D_iso.png;002_ED_data.npz;5,0000;0,3000;0,2500;-0,2600;10,0000;1,0000;60,0000;0,9800;4,0000;0,0600;5,0669;-0,4914;327,0814;506,6885;882,3101;0,6566;1,0172;1,7713;20,0122;13,5198;114,1277;OK
003;003_ED_thickness_map.png;003_ED_current_density.png;003_ED_3D_iso.png;003_ED_data.npz;5,0000;0,3000;0,2500;-0,2600;10,0000;1,0000;90,0000;0,9800;4,0000;0,0600;5,0669;-0,4914;327,0814;506,6885;882,3101;0,9850;1,5258;2,6570;20,0122;13,5198;109,5190;OK
004;004_ED_thickness_map.png;004_ED_current_density.png;004_ED_3D_iso.png;004_ED_data.npz;5,0000;0,3000;0,2500;-0,2600;30,0000;1,0000;30,0000;0,9800;4,0000;0,0600;4,9681;-0,4641;405,2080;496,8097;611,4514;0,4067;0,4987;0,6138;8,5389;13,5198;88,2298;OK
005;005_ED_thickness_map.png;005_ED_current_density.png;005_ED_3D_iso.png;005_ED_data.npz;5,0000;0,3000;0,2500;-0,2600;30,0000;1,0000;60,0000;0,9800;4,0000;0,0600;4,9681;-0,4641;405,2080;496,8097;611,4514;0,8135;0,9974;1,2275;8,5389;13,5198;89,3707;OK
006;006_ED_thickness_map.png;006_ED_current_density.png;006_ED_3D_iso.png;006_ED_data.npz;5,0000;0,3000;0,2500;-0,2600;30,0000;1,0000;90,0000;0,9800;4,0000;0,0600;4,9681;-0,4641;405,2080;496,8097;611,4514;1,2202;1,4961;1,8413;8,5389;13,5198;106,2785;OK
007;007_ED_thickness_map.png;007_ED_current_density.png;007_ED_3D_iso.png;007_ED_data.npz;5,0000;0,3000;0,2500;-0,2600;50,0000;1,0000;30,0000;0,9800;4,0000;0,0600;5,0409;-0,4592;439,6022;504,0915;574,7829;0,4413;0,5060;0,5770;5,6726;13,5198;105,9370;OK
008;008_ED_thickness_map.png;008_ED_current_density.png;008_ED_3D_iso.png;008_ED_data.npz;5,0000;0,3000;0,2500;-0,2600;50,0000;1,0000;60,0000;0,9800;4,0000;0,0600;5,0409;-0,4592;439,6022;504,0915;574,7829;0,8825;1,0120;1,1539;5,6726;13,5198;112,1407;OK
009;009_ED_thickness_map.png;009_ED_current_density.png;009_ED_3D_iso.png;009_ED_data.npz;5,0000;0,3000;0,2500;-0,2600;50,0000;1,0000;90,0000;0,9800;4,0000;0,0600;5,0409;-0,4592;439,6022;504,0915;574,7829;1,3238;1,5180;1,7309;5,6726;13,5198;107,4145;OK
010;010_ED_thickness_map.png;010_ED_current_density.png;010_ED_3D_iso.png;010_ED_data.npz;5,0000;0,7000;0,2500;-0,2600;10,0000;1,0000;30,0000;0,9800;4,0000;0,0600;4,9381;-0,4680;321,0268;493,8061;849,5331;0,3222;0,4957;0,8528;19,6208;13,5198;105,9531;OK
011;011_ED_thickness_map.png;011_ED_current_density.png;011_ED_3D_iso.png;011_ED_data.npz;5,0000;0,7000;0,2500;-0,2600;10,0000;1,0000;60,0000;0,9800;4,0000;0,0600;4,9381;-0,4680;321,0268;493,8061;849,5331;0,6445;0,9914;1,7055;19,6208;13,5198;103,0204;OK
012;012_ED_thickness_map.png;012_ED_current_density.png;012_ED_3D_iso.png;012_ED_data.npz;5,0000;0,7000;0,2500;-0,2600;10,0000;1,0000;90,0000;0,9800;4,0000;0,0600;4,9381;-0,4680;321,0268;493,8061;849,5331;0,9667;1,4870;2,5583;19,6208;13,5198;102,8482;OK
013;013_ED_thickness_map.png;013_ED_current_density.png;013_ED_3D_iso.png;013_ED_data.npz;5,0000;0,7000;0,2500;-0,2600;30,0000;1,0000;30,0000;0,9800;4,0000;0,0600;5,0032;-0,4426;407,4760;500,3235;616,6974;0,4090;0,5022;0,6190;8,5982;13,5198;99,1054;OK
014;014_ED_thickness_map.png;014_ED_current_density.png;014_ED_3D_iso.png;014_ED_data.npz;5,0000;0,7000;0,2500;-0,2600;30,0000;1,0000;60,0000;0,9800;4,0000;0,0600;5,0032;-0,4426;407,4760;500,3235;616,6974;0,8180;1,0044;1,2381;8,5982;13,5198;100,1951;OK
015;015_ED_thickness_map.png;015_ED_current_density.png;015_ED_3D_iso.png;015_ED_data.npz;5,0000;0,7000;0,2500;-0,2600;30,0000;1,0000;90,0000;0,9800;4,0000;0,0600;5,0032;-0,4426;407,4760;500,3235;616,6974;1,2271;1,5067;1,8571;8,5982;13,5198;99,2866;OK
016;016_ED_thickness_map.png;016_ED_current_density.png;016_ED_3D_iso.png;016_ED_data.npz;5,0000;0,7000;0,2500;-0,2600;50,0000;1,0000;30,0000;0,9800;4,0000;0,0600;4,9386;-0,4367;431,6808;493,8646;561,7224;0,4333;0,4957;0,5638;5,5751;13,5198;95,5251;OK
017;017_ED_thickness_map.png;017_ED_current_density.png;017_ED_3D_iso.png;017_ED_data.npz;5,0000;0,7000;0,2500;-0,2600;50,0000;1,0000;60,0000;0,9800;4,0000;0,0600;4,9386;-0,4367;431,6808;493,8646;561,7224;0,8666;0,9915;1,1277;5,5751;13,5198;92,9169;OK
018;018_ED_thickness_map.png;018_ED_current_density.png;018_ED_3D_iso.png;018_ED_data.npz;5,0000;0,7000;0,2500;-0,2600;50,0000;1,0000;90,0000;0,9800;4,0000;0,0600;4,9386;-0,4367;431,6808;493,8646;561,7224;1,2999;1,4872;1,6915;5,5751;13,5198;94,1772;OK
019;019_ED_thickness_map.png;019_ED_current_density.png;019_ED_3D_iso.png;019_ED_data.npz;5,0000;1,1000;0,2500;-0,2600;10,0000;1,0000;30,0000;0,9800;4,0000;0,0600;4,9285;-0,4563;320,4116;492,8478;847,3665;0,3216;0,4947;0,8506;19,6071;13,5198;85,8728;OK
020;020_ED_thickness_map.png;020_ED_current_density.png;020_ED_3D_iso.png;020_ED_data.npz;5,0000;1,1000;0,2500;-0,2600;10,0000;1,0000;60,0000;0,9800;4,0000;0,0600;4,9285;-0,4563;320,4116;492,8478;847,3665;0,6432;0,9894;1,7012;19,6071;13,5198;83,0708;OK
021;021_ED_thickness_map.png;021_ED_current_density.png;021_ED_3D_iso.png;021_ED_data.npz;5,0000;1,1000;0,2500;-0,2600;10,0000;1,0000;90,0000;0,9800;4,0000;0,0600;4,9285;-0,4563;320,4116;492,8478;847,3665;0,9649;1,4841;2,5517;19,6071;13,5198;84,6225;OK
022;022_ED_thickness_map.png;022_ED_current_density.png;022_ED_3D_iso.png;022_ED_data.npz;5,0000;1,1000;0,2500;-0,2600;30,0000;1,0000;30,0000;0,9800;4,0000;0,0600;4,9890;-0,4309;406,4283;498,8997;614,6591;0,4080;0,5008;0,6170;8,5840;13,5198;101,7424;OK
023;023_ED_thickness_map.png;023_ED_current_density.png;023_ED_3D_iso.png;023_ED_data.npz;5,0000;1,1000;0,2500;-0,2600;30,0000;1,0000;60,0000;0,9800;4,0000;0,0600;4,9890;-0,4309;406,4283;498,8997;614,6591;0,8159;1,0016;1,2340;8,5840;13,5198;101,6818;OK
024;024_ED_thickness_map.png;024_ED_current_density.png;024_ED_3D_iso.png;024_ED_data.npz;5,0000;1,1000;0,2500;-0,2600;30,0000;1,0000;90,0000;0,9800;4,0000;0,0600;4,9890;-0,4309;406,4283;498,8997;614,6591;1,2239;1,5024;1,8510;8,5840;13,5198;102,0391;OK
025;025_ED_thickness_map.png;025_ED_current_density.png;025_ED_3D_iso.png;025_ED_data.npz;5,0000;1,1000;0,2500;-0,2600;50,0000;1,0000;30,0000;0,9800;4,0000;0,0600;4,9229;-0,4250;430,4490;492,2853;559,7162;0,4321;0,4941;0,5618;5,5605;13,5198;69,0480;OK
026;026_ED_thickness_map.png;026_ED_current_density.png;026_ED_3D_iso.png;026_ED_data.npz;5,0000;1,1000;0,2500;-0,2600;50,0000;1,0000;60,0000;0,9800;4,0000;0,0600;4,9229;-0,4250;430,4490;492,2853;559,7162;0,8642;0,9883;1,1237;5,5605;13,5198;68,2317;OK
027;027_ED_thickness_map.png;027_ED_current_density.png;027_ED_3D_iso.png;027_ED_data.npz;5,0000;1,1000;0,2500;-0,2600;50,0000;1,0000;90,0000;0,9800;4,0000;0,0600;4,9229;-0,4250;430,4490;492,2853;559,7162;1,2962;1,4824;1,6855;5,5605;13,5198;68,2686;OK
028;028_ED_thickness_map.png;028_ED_current_density.png;028_ED_3D_iso.png;028_ED_data.npz;5,0000;0,3000;0,5000;-0,2600;10,0000;1,0000;30,0000;0,9800;4,0000;0,0600;5,0669;-0,4914;327,0851;506,6912;882,3111;0,3283;0,5086;0,8857;20,0120;13,5198;108,0313;OK
029;029_ED_thickness_map.png;029_ED_current_density.png;029_ED_3D_iso.png;029_ED_data.npz;5,0000;0,3000;0,5000;-0,2600;10,0000;1,0000;60,0000;0,9800;4,0000;0,0600;5,0669;-0,4914;327,0851;506,6912;882,3111;0,6566;1,0172;1,7713;20,0120;13,5198;107,1668;OK
030;030_ED_thickness_map.png;030_ED_current_density.png;030_ED_3D_iso.png;030_ED_data.npz;5,0000;0,3000;0,5000;-0,2600;10,0000;1,0000;90,0000;0,9800;4,0000;0,0600;5,0669;-0,4914;327,0851;506,6912;882,3111;0,9850;1,5258;2,6570;20,0120;13,5198;105,9865;OK
031;031_ED_thickness_map.png;031_ED_current_density.png;031_ED_3D_iso.png;031_ED_data.npz;5,0000;0,3000;0,5000;-0,2600;30,0000;1,0000;30,0000;0,9800;4,0000;0,0600;4,9681;-0,4641;405,2129;496,8144;611,4561;0,4067;0,4987;0,6138;8,5388;13,5198;88,3399;OK
032;032_ED_thickness_map.png;032_ED_current_density.png;032_ED_3D_iso.png;032_ED_data.npz;5,0000;0,3000;0,5000;-0,2600;30,0000;1,0000;60,0000;0,9800;4,0000;0,0600;4,9681;-0,4641;405,2129;496,8144;611,4561;0,8135;0,9974;1,2275;8,5388;13,5198;86,9568;OK
033;033_ED_thickness_map.png;033_ED_current_density.png;033_ED_3D_iso.png;033_ED_data.npz;5,0000;0,3000;0,5000;-0,2600;30,0000;1,0000;90,0000;0,9800;4,0000;0,0600;4,9681;-0,4641;405,2129;496,8144;611,4561;1,2202;1,4961;1,8413;8,5388;13,5198;87,0145;OK
034;034_ED_thickness_map.png;034_ED_current_density.png;034_ED_3D_iso.png;034_ED_data.npz;5,0000;0,3000;0,5000;-0,2600;50,0000;1,0000;30,0000;0,9800;4,0000;0,0600;5,0410;-0,4592;439,6075;504,0969;574,7885;0,4413;0,5060;0,5770;5,6726;13,5198;99,2510;OK
035;035_ED_thickness_map.png;035_ED_current_density.png;035_ED_3D_iso.png;035_ED_data.npz;5,0000;0,3000;0,5000;-0,2600;50,0000;1,0000;60,0000;0,9800;4,0000;0,0600;5,0410;-0,4592;439,6075;504,0969;574,7885;0,8825;1,0120;1,1539;5,6726;13,5198;99,7001;OK
036;036_ED_thickness_map.png;036_ED_current_density.png;036_ED_3D_iso.png;036_ED_data.npz;5,0000;0,3000;0,5000;-0,2600;50,0000;1,0000;90,0000;0,9800;4,0000;0,0600;5,0410;-0,4592;439,6075;504,0969;574,7885;1,3238;1,5180;1,7309;5,6726;13,5198;98,9812;OK
037;037_ED_thickness_map.png;037_ED_current_density.png;037_ED_3D_iso.png;037_ED_data.npz;5,0000;0,7000;0,5000;-0,2600;10,0000;1,0000;30,0000;0,9800;4,0000;0,0600;4,9382;-0,4680;321,0403;493,8161;849,5374;0,3223;0,4957;0,8528;19,6200;13,5198;104,7007;OK
038;038_ED_thickness_map.png;038_ED_current_density.png;038_ED_3D_iso.png;038_ED_data.npz;5,0000;0,7000;0,5000;-0,2600;10,0000;1,0000;60,0000;0,9800;4,0000;0,0600;4,9382;-0,4680;321,0403;493,8161;849,5374;0,6445;0,9914;1,7055;19,6200;13,5198;103,2716;OK
039;039_ED_thickness_map.png;039_ED_current_density.png;039_ED_3D_iso.png;039_ED_data.npz;5,0000;0,7000;0,5000;-0,2600;10,0000;1,0000;90,0000;0,9800;4,0000;0,0600;4,9382;-0,4680;321,0403;493,8161;849,5374;0,9668;1,4871;2,5583;19,6200;13,5198;104,5256;OK
040;040_ED_thickness_map.png;040_ED_current_density.png;040_ED_3D_iso.png;040_ED_data.npz;5,0000;0,7000;0,5000;-0,2600;30,0000;1,0000;30,0000;0,9800;4,0000;0,0600;5,0034;-0,4426;407,4928;500,3400;616,7138;0,4090;0,5022;0,6190;8,5979;13,5198;99,6339;OK
041;041_ED_thickness_map.png;041_ED_current_density.png;041_ED_3D_iso.png;041_ED_data.npz;5,0000;0,7000;0,5000;-0,2600;30,0000;1,0000;60,0000;0,9800;4,0000;0,0600;5,0034;-0,4426;407,4928;500,3400;616,7138;0,8181;1,0045;1,2381;8,5979;13,5198;99,9371;OK
042;042_ED_thickness_map.png;042_ED_current_density.png;042_ED_3D_iso.png;042_ED_data.npz;5,0000;0,7000;0,5000;-0,2600;30,0000;1,0000;90,0000;0,9800;4,0000;0,0600;5,0034;-0,4426;407,4928;500,3400;616,7138;1,2271;1,5067;1,8571;8,5979;13,5198;100,0667;OK
043;043_ED_thickness_map.png;043_ED_current_density.png;043_ED_3D_iso.png;043_ED_data.npz;5,0000;0,7000;0,5000;-0,2600;50,0000;1,0000;30,0000;0,9800;4,0000;0,0600;4,9388;-0,4367;431,6997;493,8838;561,7422;0,4333;0,4958;0,5639;5,5749;13,5198;102,1461;OK
044;044_ED_thickness_map.png;044_ED_current_density.png;044_ED_3D_iso.png;044_ED_data.npz;5,0000;0,7000;0,5000;-0,2600;50,0000;1,0000;60,0000;0,9800;4,0000;0,0600;4,9388;-0,4367;431,6997;493,8838;561,7422;0,8667;0,9915;1,1277;5,5749;13,5198;103,0952;OK
045;045_ED_thickness_map.png;045_ED_current_density.png;045_ED_3D_iso.png;045_ED_data.npz;5,0000;0,7000;0,5000;-0,2600;50,0000;1,0000;90,0000;0,9800;4,0000;0,0600;4,9388;-0,4367;431,6997;493,8838;561,7422;1,3000;1,4873;1,6916;5,5749;13,5198;107,5743;OK
046;046_ED_thickness_map.png;046_ED_current_density.png;046_ED_3D_iso.png;046_ED_data.npz;5,0000;1,1000;0,5000;-0,2600;10,0000;1,0000;30,0000;0,9800;4,0000;0,0600;4,9287;-0,4563;320,4373;492,8671;847,3748;0,3217;0,4947;0,8506;19,6056;13,5198;96,1099;OK
047;047_ED_thickness_map.png;047_ED_current_density.png;047_ED_3D_iso.png;047_ED_data.npz;5,0000;1,1000;0,5000;-0,2600;10,0000;1,0000;60,0000;0,9800;4,0000;0,0600;4,9287;-0,4563;320,4373;492,8671;847,3748;0,6433;0,9895;1,7012;19,6056;13,5198;94,1575;OK
048;048_ED_thickness_map.png;048_ED_current_density.png;048_ED_3D_iso.png;048_ED_data.npz;5,0000;1,1000;0,5000;-0,2600;10,0000;1,0000;90,0000;0,9800;4,0000;0,0600;4,9287;-0,4563;320,4373;492,8671;847,3748;0,9650;1,4842;2,5518;19,6056;13,5198;93,0571;OK
049;049_ED_thickness_map.png;049_ED_current_density.png;049_ED_3D_iso.png;049_ED_data.npz;5,0000;1,1000;0,5000;-0,2600;30,0000;1,0000;30,0000;0,9800;4,0000;0,0600;4,9893;-0,4309;406,4611;498,9318;614,6913;0,4080;0,5008;0,6170;8,5835;13,5198;109,7899;OK
050;050_ED_thickness_map.png;050_ED_current_density.png;050_ED_3D_iso.png;050_ED_data.npz;5,0000;1,1000;0,5000;-0,2600;30,0000;1,0000;60,0000;0,9800;4,0000;0,0600;4,9893;-0,4309;406,4611;498,9318;614,6913;0,8160;1,0016;1,2340;8,5835;13,5198;108,9041;OK
051;051_ED_thickness_map.png;051_ED_current_density.png;051_ED_3D_iso.png;051_ED_data.npz;5,0000;1,1000;0,5000;-0,2600;30,0000;1,0000;90,0000;0,9800;4,0000;0,0600;4,9893;-0,4309;406,4611;498,9318;614,6913;1,2240;1,5025;1,8511;8,5835;13,5198;110,7345;OK
052;052_ED_thickness_map.png;052_ED_current_density.png;052_ED_3D_iso.png;052_ED_data.npz;5,0000;1,1000;0,5000;-0,2600;50,0000;1,0000;30,0000;0,9800;4,0000;0,0600;4,9232;-0,4250;430,4860;492,3229;559,7548;0,4321;0,4942;0,5619;5,5601;13,5198;75,5885;OK
053;053_ED_thickness_map.png;053_ED_current_density.png;053_ED_3D_iso.png;053_ED_data.npz;5,0000;1,1000;0,5000;-0,2600;50,0000;1,0000;60,0000;0,9800;4,0000;0,0600;4,9232;-0,4250;430,4860;492,3229;559,7548;0,8642;0,9884;1,1237;5,5601;13,5198;73,9912;OK
054;054_ED_thickness_map.png;054_ED_current_density.png;054_ED_3D_iso.png;054_ED_data.npz;5,0000;1,1000;0,5000;-0,2600;50,0000;1,0000;90,0000;0,9800;4,0000;0,0600;4,9232;-0,4250;430,4860;492,3229;559,7548;1,2963;1,4826;1,6856;5,5601;13,5198;74,9175;OK
055;055_ED_thickness_map.png;055_ED_current_density.png;055_ED_3D_iso.png;055_ED_data.npz;5,0000;0,3000;0,7500;-0,2600;10,0000;1,0000;30,0000;0,9800;4,0000;0,0600;5,0669;-0,4914;327,0852;506,6913;882,3111;0,3283;0,5086;0,8857;20,0120;13,5198;116,8182;OK
056;056_ED_thickness_map.png;056_ED_current_density.png;056_ED_3D_iso.png;056_ED_data.npz;5,0000;0,3000;0,7500;-0,2600;10,0000;1,0000;60,0000;0,9800;4,0000;0,0600;5,0669;-0,4914;327,0852;506,6913;882,3111;0,6566;1,0172;1,7713;20,0120;13,5198;114,3218;OK
057;057_ED_thickness_map.png;057_ED_current_density.png;057_ED_3D_iso.png;057_ED_data.npz;5,0000;0,3000;0,7500;-0,2600;10,0000;1,0000;90,0000;0,9800;4,0000;0,0600;5,0669;-0,4914;327,0852;506,6913;882,3111;0,9850;1,5258;2,6570;20,0120;13,5198;115,4977;OK
058;058_ED_thickness_map.png;058_ED_current_density.png;058_ED_3D_iso.png;058_ED_data.npz;5,0000;0,3000;0,7500;-0,2600;30,0000;1,0000;30,0000;0,9800;4,0000;0,0600;4,9681;-0,4641;405,2131;496,8145;611,4562;0,4067;0,4987;0,6138;8,5388;13,5198;93,8128;OK
059;059_ED_thickness_map.png;059_ED_current_density.png;059_ED_3D_iso.png;059_ED_data.npz;5,0000;0,3000;0,7500;-0,2600;30,0000;1,0000;60,0000;0,9800;4,0000;0,0600;4,9681;-0,4641;405,2131;496,8145;611,4562;0,8135;0,9974;1,2275;8,5388;13,5198;94,6391;OK
060;060_ED_thickness_map.png;060_ED_current_density.png;060_ED_3D_iso.png;060_ED_data.npz;5,0000;0,3000;0,7500;-0,2600;30,0000;1,0000;90,0000;0,9800;4,0000;0,0600;4,9681;-0,4641;405,2131;496,8145;611,4562;1,2202;1,4961;1,8413;8,5388;13,5198;94,1618;OK
061;061_ED_thickness_map.png;061_ED_current_density.png;061_ED_3D_iso.png;061_ED_data.npz;5,0000;0,3000;0,7500;-0,2600;50,0000;1,0000;30,0000;0,9800;4,0000;0,0600;5,0410;-0,4592;439,6076;504,0970;574,7886;0,4413;0,5060;0,5770;5,6726;13,5198;107,6783;OK
062;062_ED_thickness_map.png;062_ED_current_density.png;062_ED_3D_iso.png;062_ED_data.npz;5,0000;0,3000;0,7500;-0,2600;50,0000;1,0000;60,0000;0,9800;4,0000;0,0600;5,0410;-0,4592;439,6076;504,0970;574,7886;0,8825;1,0120;1,1539;5,6726;13,5198;106,1023;OK
063;063_ED_thickness_map.png;063_ED_current_density.png;063_ED_3D_iso.png;063_ED_data.npz;5,0000;0,3000;0,7500;-0,2600;50,0000;1,0000;90,0000;0,9800;4,0000;0,0600;5,0410;-0,4592;439,6076;504,0970;574,7886;1,3238;1,5180;1,7309;5,6726;13,5198;106,6605;OK
064;064_ED_thickness_map.png;064_ED_current_density.png;064_ED_3D_iso.png;064_ED_data.npz;5,0000;0,7000;0,7500;-0,2600;10,0000;1,0000;30,0000;0,9800;4,0000;0,0600;4,9382;-0,4680;321,0411;493,8166;849,5375;0,3223;0,4957;0,8528;19,6200;13,5198;114,3823;OK
065;065_ED_thickness_map.png;065_ED_current_density.png;065_ED_3D_iso.png;065_ED_data.npz;5,0000;0,7000;0,7500;-0,2600;10,0000;1,0000;60,0000;0,9800;4,0000;0,0600;4,9382;-0,4680;321,0411;493,8166;849,5375;0,6445;0,9914;1,7055;19,6200;13,5198;112,4023;OK
066;066_ED_thickness_map.png;066_ED_current_density.png;066_ED_3D_iso.png;066_ED_data.npz;5,0000;0,7000;0,7500;-0,2600;10,0000;1,0000;90,0000;0,9800;4,0000;0,0600;4,9382;-0,4680;321,0411;493,8166;849,5375;0,9668;1,4871;2,5583;19,6200;13,5198;112,4257;OK
067;067_ED_thickness_map.png;067_ED_current_density.png;067_ED_3D_iso.png;067_ED_data.npz;5,0000;0,7000;0,7500;-0,2600;30,0000;1,0000;30,0000;0,9800;4,0000;0,0600;5,0034;-0,4426;407,4936;500,3406;616,7143;0,4090;0,5022;0,6190;8,5979;13,5198;104,7036;OK
068;068_ED_thickness_map.png;068_ED_current_density.png;068_ED_3D_iso.png;068_ED_data.npz;5,0000;0,7000;0,7500;-0,2600;30,0000;1,0000;60,0000;0,9800;4,0000;0,0600;5,0034;-0,4426;407,4936;500,3406;616,7143;0,8181;1,0045;1,2381;8,5979;13,5198;100,4088;OK
069;069_ED_thickness_map.png;069_ED_current_density.png;069_ED_3D_iso.png;069_ED_data.npz;5,0000;0,7000;0,7500;-0,2600;30,0000;1,0000;90,0000;0,9800;4,0000;0,0600;5,0034;-0,4426;407,4936;500,3406;616,7143;1,2271;1,5067;1,8571;8,5979;13,5198;99,3814;OK
070;070_ED_thickness_map.png;070_ED_current_density.png;070_ED_3D_iso.png;070_ED_data.npz;5,0000;0,7000;0,7500;-0,2600;50,0000;1,0000;30,0000;0,9800;4,0000;0,0600;4,9388;-0,4367;431,7005;493,8845;561,7429;0,4333;0,4958;0,5639;5,5749;13,5198;95,6569;OK
